pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
11 Com b,11 Com,Radial Velocity,323.21,1.178,12.2,,4874,13.76,2.09
11 UMi b,11 UMi,Radial Velocity,516.21997,1.53,12.3,,4213,29.79,2.78
14 And b,14 And,Radial Velocity,186.76,0.775,13.1,,4888,11.55,1.78
14 Her b,14 Her,Radial Velocity,1765.0389,2.774,12.6,,5338,0.93,0.91
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.66,13.5,,5750,1.13,1.08
17 Sco b,17 Sco,Radial Velocity,578.38,1.45,12.9,,4157,25.92,1.22
18 Del b,18 Del,Radial Velocity,982.85,2.476,12.5,,4980,8.8,2.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,18.647,1700,4060,1.31316,0.85
24 Boo b,24 Boo,Radial Velocity,30.33,0.194,13.9,,4816,12.19,1.05
24 Sex b,24 Sex,Radial Velocity,452.8,1.333,13.4,,5098,4.9,1.54
24 Sex c,24 Sex,Radial Velocity,883,2.08,13.9,,5098,4.9,1.54
2M0437 b,2MASS J04372171+2651014,Imaging,,118,13,1450,3100,0.84,0.17
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,,84,12.3,,,,0.19
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,,52,11.209,1600,3530,0.36645,0.4
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,,156,16.14096,,3064,0.281,0.108
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,,1950,12.4,,2859,0.315959,0.046
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,,572,12.2,2369,2943,0.289776,0.264996
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,,15,12.6,,2936,0.231916,0.019
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,,266,11.9,2677,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,,587,12.1,2506,3021,0.600455,0.58846
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,,55,12.9,1250,2825,0.21887,0.024
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,406,0.92,13.4,,29564,0.203,0.48
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,,7493,12.4,1616,3592,0.672832,0.643977
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,,230,12.3,,4045,0.641152,0.6
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,,518,11.9,1600,3352,0.437589,0.433173
4 UMa b,4 UMa,Radial Velocity,270.27,0.877,12.6,,4415,18.11,1.234
47 UMa b,47 UMa,Radial Velocity,1078,2.1,13.2,,5872,1.21334,1.06
47 UMa c,47 UMa,Radial Velocity,2391,3.6,14.2,,5872,1.21334,1.06
47 UMa d,47 UMa,Radial Velocity,14002.00000000000,11.6,13.5,,5872,1.21334,1.06
51 Eri b,51 Eri,Imaging,9100,10.4,,700,7295,1.48726,1.75
51 Peg b,51 Peg,Radial Velocity,4.230785,0.0527,14.3,,5758,1.17561,1.03
55 Cnc B b,55 Cnc B,Radial Velocity,6.7994,0.044,1.69,,3286,0.274,0.26
55 Cnc B c,55 Cnc B,Radial Velocity,33.747,0.13,2.16,,3286,0.274,0.26
